AAA	Anaa Airport	Anaa, Tuamotus, French Polynesia
CMY	Sparta/Fort McCoy Airport	Sparta, Wisconsin, United States
CNA	Cananea Airport	Cananea, Sonora, México
CNB	Coonamble Airport	Coonamble, New South Wales, Australia
CNC	Coconut Island Airport	Coconut Island (Poruma Island), Queensland, Australia
CND	Mihail Kogalniceanu International Airport	Constanta, Romania
CNE	Fremont County Airport (FAA: 1V6)	Cañon City, Colorado, United States
CNF	Tancredo Neves International Airport (Confins Int'l)	Belo Horizonte, Minas Gerais, Brazil
CNG	Cognac - Châteaubernard Air Base	Cognac / Châteaubernard, France
CNH	Claremont Municipal Airport	Claremont, New Hampshire, United States
CNI	Changhai Airport	Changhai, China
CNJ	Cloncurry Airport	Cloncurry, Queensland, Australia
CNK	Blosser Municipal Airport	Concordia, Kansas, United States
CNL	Sindal Airport	Sindal, Denmark
CNM	Cavern City Air Terminal	Carlsbad, New Mexico, United States
CNN	Neryungri Airport	Chulman, Yakutia, Russia
CNO	Chino Airport	Chino, California, United States
CNP	Nerlerit Inaat Airport (Constable Pynt Airport)	Nerlerit Inaat (Constable Pynt), Greenland
CNQ	Doctor Fernando Piragine Niveyro International Airport	Corrientes, Corrientes, Argentina
CNR	Chañaral Airport	Chañaral, Atacama Region, Chile
CNS	Cairns International Airport	Cairns, Queensland, Australia
CNT	Charata Airport	Charata, Chubut, Argentina
CNU	Chanute Martin Johnson Airport	Chanute, Kansas, United States
CNV	Canavieiras Airport	Canavieiras, Bahia, Brazil
CNW	TSTC Waco Airport	Waco, Texas, United States
CNX	Chiang Mai International Airport	Chiang Mai, Thailand
CNY	Canyonlands Field	Moab, Utah, United States
CNZ	Cangamba Airport	Cangamba, Angola
COA	Columbia Airport (FAA: O22)	Columbia, California, United States
COB	Coolibah Airport	Coolibah, Northern Territory, Australia
COC	Concordia Airport (Comodoro Pierrestegui Airport)	Concordia, Entre Ríos, Argentina
COD	Yellowstone Regional Airport	Cody, Wyoming, United States
COE	Coeur d'Alene Air Terminal	Coeur d'Alene, Idaho, United States
COF	Patrick Air Force Base	Cocoa Beach, Florida, United States
COG	Mandinga Airport	Condoto, Colombia
COH	Cooch Behar Airport	Cooch Behar, India
COI	Merritt Island Airport	Merritt Island, Florida, United States
COJ	Coonabarabran Airport	Coonabarabran, New South Wales, Australia
COK	Cochin International Airport (Nedumbassery Airport)	Nedumbassery near Kochi (Cochin), Kerala, India
COL	Coll Island Airport	Coll Island, Scotland, United Kingdom
COM	Coleman Municipal Airport	Coleman, Texas, United States
CON	Concord Municipal Airport	Concord, New Hampshire, United States
COO	Cadjehoun Airport	Cotonou, Benin
COP	Cooperstown-Westville Airport (FAA: K23)	Cooperstown, New York, United States
COQ	Choibalsan Airport	Choibalsan, Mongolia
COR	Ingeniero Ambrosio L.V. Taravella International Airport (Pajas Blancas)	Córdoba, Córdoba, Argentina
COS	Colorado Springs Airport	Colorado Springs, Colorado, United States
COT	Cotulla-La Salle County Airport	Cotulla, Texas, United States
COU	Columbia Regional Airport	Columbia, Missouri, United States
COV	Covilhã Airport	Covilhã, Portugal
COW	Coquimbo Airport	Coquimbo, Coquimbo Region, Chile
COX	Congo Town Airport	Congo Town, Andros Island, Bahamas
COY	Coolawanyah Airport	Coolawanyah, Western Australia, Australia
COZ	Constanza Airport	Constanza, Dominican Republic
CPA	Cape Palmas Airport (A. Tubman Airport)	Cape Palmas, Liberia
CPB	Capurgana Airport	Capurgana, Colombia
CPC	Aviador Carlos Campos Airport	San Martín de los Andes, Neuquén, Argentina
CPD	Coober Pedy Airport	Coober Pedy, South Australia, Australia
CPE	Ing. Alberto Acuña Ongay International Airport	Campeche, Campeche, Mexico
CPF	Cepu Airport	Cepu, Indonesia
CPG	Carmen de Patagones Airport	Carmen de Patagones, Buenos Aires, Argentina
CPH	Copenhagen Airport, Kastrup Airport	Copenhagen (København), Denmark
CPL	General Navas Pardo Airport	Chaparral, Colombia
CPM	Compton/Woodley Airport	Compton, California, United States
CPN	Cape Rodney Airport	Cape Rodney, Papua New Guinea
CPO	Chamonate Airport	Copiapó, Atacama Region, Chile
CPP	Calapan Airport	Calapan City, Oriental Mindoro, Philippines
CPQ	Amarais Airport	Campinas, São Paulo, Brazil
CPR	Natrona County International Airport	Casper, Wyoming, United States
CPS	St. Louis Downtown Airport	Cahokia, Illinois (near St. Louis, Missouri), United States
CPT	Cape Town International Airport	Cape Town, South Africa
CPU	Cururupu Airport	Cururupu, Maranhão, Brazil
CPV	Presidente Vargas Airport (João Suassuna Airport)	Campina Grande, Paraíba, Brazil
CPX	Benjamin Rivera Noriega Airport	Isla de Culebra, Puerto Rico
CQA	Canarana Airport	Canarana, Mato Grosso, Brazil
CQD	Shahre-Kord Airport	Shahre-Kord, Iran
CQF	Calais - Dunkerque Airport	Calais / Dunkerque, France
CQM	Ciudad Real Central Airport	Ciudad Real, Spain
CQP	Cape Flattery Airport	Cape Flattery, Queensland, Australia
CQS	Costa Marques Airport	Costa Marques, Rondônia, Brazil
CQT	Caquetania Airport	Caquetania, Colombia
CRA	Craiova Airport	Craiova, Romania
CRB	Collarenebri Airport	Collarenebri, New South Wales, Australia
CRC	Santa Ana Airport	Cartago, Colombia
CRD	General Enrique Mosconi International Airport	Comodoro Rivadavia, Chubut, Argentina
CRE	Grand Strand Airport	North Myrtle Beach, South Carolina, United States
CRF	Carnot Airport	Carnot, Central African Republic
CRG	Craig Municipal Airport	Jacksonville, Florida, United States
CRH	Cherribah Airport	Cherribah, Queensland, Australia
CRI	Colonel Hill Airport (Crooked Island Airport)	Colonel Hill, Crooked Island, Bahamas
CRJ	Coorabie Airport	Coorabie, South Australia, Australia
CRK	Diosdado Macapagal (Clark) International Airport	Angeles City, Philippines
CRL	Brussels South Charleroi Airport	Charleroi, Wallonia, Belgium
CRM	Catarman National Airport	Catarman, Northern Samar, Philippines
CRN	Cromarty Airport	Cromarty, Scotland, United Kingdom
CRO	Corcoran Airport	Corcoran, California, United States
CRP	Corpus Christi International Airport	Corpus Christi, Texas, United States
CRQ	Caravelas Airport	Caravelas, Bahia, Brazil
CRR	Ceres Airport	Ceres, Santa Fe, Argentina
CRS	Corsicana Municipal Airport (C. David Campbell Field)	Corsicana, Texas, United States
CRT	Z.M. Jack Stell Field	Crossett, Arkansas, United States
CRU	Carriacou Island Airport	Carriacou Island, Grenada
CRV	Crotone Airport	Crotone, Italy
CRW	Yeager Airport	Charleston, West Virginia, United States
CRX	Roscoe Turner Airport	Corinth, Mississippi, United States
CRY	Carlton Hill Airport	Carlton Hill, Western Australia, Australia
CRZ	Turkmenabat Airport	Chardzhou, Turkmenistan
CSA	Colonsay Airport	Colonsay, Inner Hebrides, Scotland, United Kingdom
CSB	Caransebes Airport	Caransebes, Romania
CSC	Canas Airport	Canas, Costa Rica
CSD	Cresswell Downs Airport	Cresswell Downs, Northern Territory, Australia
CSE	Buckhorn Ranch Airport (FAA: 0CO2)	Crested Butte, Colorado, United States
CSF	Creil Air Base	Creil, France
CSG	Columbus Metropolitan Airport	Columbus, Georgia, United States
CSI	Casino Airport	Casino, New South Wales, Australia
CSJ	Cape St. Jacques Airport	Cape St. Jacques, Vietnam
CSK	Cap Skirring Airport	Cap Skirring, Senegal
CSL	O'Sullivan Army Heliport	Camp San Luis Obispo, California, United States
CSM	Clinton-Sherman Airport	Clinton, Oklahoma, United States
CSN	Carson Airport (FAA: CXP)	Carson City, Nevada, United States
CSO	Magdeburg/Cochstedt Airport	Magdeburg, Germany
CSP	Cape Spencer Coast Guard Heliport	Cape Spencer, Alaska, United States
CSQ	Creston Municipal Airport	Creston, Iowa, United States
CSR	Casuarito Airport	Casuarito, Colombia
CSS	Cassilândia Airport	Cassilândia, Mato Grosso do Sul, Brazil
CST	Castaway Island Resort Airport	Castaway Island Resort, Qalito Island, Fiji
CSV	Crossville Memorial-Whitson Field	Crossville, Tennessee, United States
CSW	Colorado do Oeste Airport	Colorado do Oeste, Rondônia, Brazil
CSX	Changsha Huanghua International Airport	Changsha, China
CSY	Cheboksary Airport	Cheboksary, Chuvashia, Russia
CSZ	Brigadier Hector Eduardo Ruiz Airport	Coronel Suárez, Buenos Aires, Argentina
CTA	Catania-Fontanarossa Airport	Catania, Sicily, Italy
CTB	Cut Bank Municipal Airport	Cut Bank, Montana, United States
CTC	Coronel Felipe Varela Airport	Catamarca, Catamarca, Argentina
CTD	Herrera Alonso Valderrama Airport	Chitré, Panamá
CTE	Carti Airport	Carti, Panamá
CTF	Coatepeque Airport	Coatepeque, Quetzaltenango, Guatemala
CTG	Rafael Núñez International Airport	Cartagena, Colombia
CTH	Chester County G. O. Carlson Airport (FAA: MQS)	Coatesville, Pennsylvania, United States
CTI	Cuito Cuanavale Airport	Cuito Cuanavale, Angola
CTK	Canton Municipal Airport (FAA: 7G9)	Canton, South Dakota, United States
CTL	Charleville Airport	Charleville, Queensland, Australia
CTM	Chetumal International Airport	Chetumal, Quintana Roo, Mexico
CTN	Cooktown Airport	Cooktown, Queensland, Australia
CTO	Calverton Executive Airpark (FAA: 3C8)	Calverton, New York, United States
CTP	Carutapera Airport	Carutapera, Maranhão, Brazil
CTQ	Do Palmar Airport	Santa Vitória, Rio Grande do Sul, Brazil
CTR	Cattle Creek Airport	Cattle Creek, Northern Territory, Australia
CTS	Chitose International Airport	Sapporo, Hokkaido, Japan
CTT	Le Castellet Airport	Le Castellet, France
CTU	Chengdu Shuangliu International Airport	Chengdu, Sichuan, People's Republic of China
CTW	Cottonwood Airport (FAA: P52)	Cottonwood, Arizona, United States
CTX	Cortland County Airport (Chase Field, FAA: N03)	Cortland, New York, United States
CTY	Cross City Airport	Cross City, Florida, United States
CTZ	Sampson County Airport	Clinton, North Carolina, United States
CUA	Ciudad Constitución Airport	Ciudad Constitución, Baja California Sur, México
CUB	Columbia Owens Downtown Airport	Columbia, South Carolina, United States
CUC	Camilo Daza International Airport	Cúcuta, Colombia
CUD	Caloundra Airport	Caloundra, Queensland, Australia
CUE	Mariscal Lamar Airport	Cuenca, Ecuador
CUF	Levaldigi Airport	Cuneo, Italy
CUG	Cudal Airport	Cudal, New South Wales, Australia
CUH	Cushing Municipal Airport	Cushing, Oklahoma, United States
CUI	Currillo Airport	Currillo, Colombia
CUJ	Culion Airport	Culion, Palawan, Philippines
CUK	Caye Caulker Airport	Caye Caulker, Belize
CUL	Federal de Bachigualato International Airport	Culiacán, Sinaloa, Mexico
CUM	Antonio José de Sucre Airport	Cumana, Venezuela
CUN	Cancún International Airport	Cancún, Quintana Roo, Mexico
CUO	Caruru Airport	Caruru, Colombia
CUP	General José Francisco Bermúdez Airport	Carúpano, Venezuela
CUQ	Coen Airport	Coen, Queensland, Australia
CUR	Hato International Airport	near Willemstad, Curaçao, Netherlands Antilles
CUS	Columbus Municipal Airport (FAA: 0NM0)	Columbus, New Mexico, United States
CUT	Cutral Có Airport	Cutral Có, Neuquén, Argentina
CUU	General Roberto Fierro Villalobos International Airport	Chihuahua, Chihuahua, Mexico
CUV	El Cubo Airport	Casigua, Venezuela
CUX	Cuddihy Field (FAA: 07TE)	Corpus Christi, Texas, United States
CUY	Cue Airport	Cue, Western Australia, Australia
CUZ	Alejandro Velasco Astete International Airport	Cusco, Cusco Region, Peru
CVB	Chungribu Airport	Chungribu, Papua New Guinea
CVC	Cleve Airport	Cleve, South Australia, Australia
CVE	Covenas Airport	Covenas, Colombia
CVF	Courchevel Aerodrome	Courchevel, France
CVG	Cincinnati/Northern Kentucky International Airport	Hebron, Kentucky (near Cincinnati, Ohio), United States
CVH	Caviahue Airport	Caviahue, Neuquén, Argentina
CVI	Caleta Olivia Airport	Caleta Olivia, Santa Cruz, Argentina
CVJ	General Mariano Matamoros Airport	Cuernavaca, Morelos, Mexico
CVL	Cape Vogel Airport	Cape Vogel, Papua-New Guinea
CVM	General Pedro J. Méndez National Airport	Ciudad Victoria, Tamaulipas, Mexico
CVN	Clovis Municipal Airport	Clovis, New Mexico, United States
CVO	Corvallis Municipal Airport	Corvallis, Oregon, United States
CVQ	Carnarvon Airport	Carnarvon, Western Australia, Australia
CVS	Cannon Air Force Base	Clovis, New Mexico, United States
CVT	Coventry Airport	Coventry, West Midlands, England, United Kingdom
CVU	Corvo Island Airport	Corvo Island, Azores, Portugal
CWA	Central Wisconsin Airport	Mosinee, Wisconsin, United States
CWB	Afonso Pena International Airport	Curitiba, Paraná, Brazil
CWC	Chernovtsy Airport	Chernovtsy, Ukraine
CWF	Chennault International Airport	Lake Charles, Louisiana, United States
CWI	Clinton Municipal Airport	Clinton, Iowa, United States
CWL	Cardiff International Airport	Cardiff, Wales, United Kingdom
CWP	Campbellpore Airport	Campbellpore, Pakistan
CWR	Cowarie Airport	Cowarie, South Australia, Australia
CWS	Center Island Airport (FAA: 78WA)	Center Island, Washington, United States
CWT	Cowra Airport	Cowra, New South Wales, Australia
CWW	Corowa Airport	Corowa, New South Wales, Australia
CXA	Caicara de Orinoco Airport	Caicara de Orinoco, Venezuela
CXB	Cox's Bazar Airport	Cox's Bazar, Bangladesh
CXC	Chitina Airport	Chitina, Alaska, United States
CXF	Coldfoot Airport	Coldfoot, Alaska, United States
CXH	Vancouver Harbour Water Aerodrome (Coal Harbour Seaplane Base)	Vancouver, British Columbia, Canada
CXI	Cassidy International Airport	Christmas Island, Kiribati
CXJ	Aeroporto Hugo Cantergiani	Caxias do Sul, Rio Grande do Sul, Brazil
CXL	Calexico International Airport	Calexico, California, United States
CXM	Camaxilo Airport	Camaxilo, Angola
CXN	Candala Airport	Candala, Somalia
CXO	Lone Star Executive Airport	Houston, Texas, United States
CXP	Tunggul Wulung Airport	Cilacap, Java Island, Indonesia
CXR	Cam Ranh International Airport	Cam Ranh, Khanh Hoa, Vietnam
CXT	Charters Towers Airport	Charters Towers, Queensland, Australia
CXY	Cat Cay Airport	Cat Cay, Bimini Islands, Bahamas
CYA	Les Cayes Airport	Les Cayes, Haiti
CYB	Gerrard Smith International Airport	Cayman Brac, Cayman Islands
CYC	Caye Chapel Airport	Caye Chapel, Belize
CYF	Chefornak Airport (FAA: CFK)	Chefornak, Alaska, United States
CYG	Corryong Airport	Corryong, Victoria, Australia
CYI	Chiayi Airport	Chiayi, Taiwan
CYL	Coyoles Airport	Coyoles, Honduras
CYM	Chatham Seaplane Base	Chatham, Alaska, United States
CYO	Vilo Acuña Airport	Cayo Largo del Sur, Cuba
CYP	Calbayog Airport	Calbayog City, Samar, Philippines
CYR	Laguna de Los Patos International Airport	Colonia, Uruguay
CYS	Cheyenne Regional Airport (Jerry Olson Field)	Cheyenne, Wyoming, United States
CYT	Yakataga Airport	Cape Yakataga, Alaska, United States
CYU	Cuyo Airport	Cuyo, Palawan, Philippines
CYW	Captain Rogelio Castillo National Airport	Celaya, Guanajuato, Mexico
CYX	Cherskiy Airport	Cherskiy, Yakutia, Russia
CYZ	Cauayan Airport	Cauayan City, Isabela, Philippines
CZA	Chichen Itza International Airport	Chichén Itzá, Yucatán, Mexico
CZB	Carlos Ruhl Airport	Cruz Alta, Rio Grande do Sul, Brazil
CZC	Copper Center 2 Airport (FAA: Z93)	Copper Center, Alaska, United States
CZE	José Leonardo Chirinos Airport	Santa Ana de Coro, Venezuela
CZF	Cape Romanzof Long Range Radar Station	Cape Romanzof, Alaska, United States
CZH	Corozal Airport	Corozal, Belize
CZJ	Corazon de Jesus Airport	Corazon de Jesus, Panamá
CZK	Cascade Locks State Airport	Cascade Locks, Oregon, United States
CZL	Mohamed Boudiaf International Airport	Constantine, Algeria
CZM	Cozumel International Airport	Cozumel, Quintana Roo, Mexico
CZN	Chisana Airport	Chisana, Alaska, United States
CZO	Chistochina Airport	Chistochina, Alaska, United States
CZP	Cape Pole Seaplane Base (FAA: Z71)	Cape Pole, Alaska, United States
CZS	Cruzeiro do Sul International Airport	Cruzeiro do Sul, Acre, Brazil
CZT	Dimmit County Airport	Carrizo Springs, Texas, United States
CZU	Las Brujas Airport	Corozal, Colombia
CZW	Rudniki Airport	Czestochowa, Poland
CZX	Changzhou Benniu Airport	Changzhou, Jiangsu, China
CZY	Cluny Airport	Cluny, Queensland, Australia
DAA	Davison Army Airfield	Fort Belvoir, Virginia, United States
DAB	Daytona Beach International Airport	Daytona Beach, Florida, United States
DAC	Shahjalal International Airport	Dhaka, Bangladesh
DAD	Da Nang International Airport	Da Nang, Vietnam
DAE	Daporijo Airport	Daporijo, Arunachal Pradesh, India
DAF	Daup Airport	Daup, Papua New Guinea
DAG	Barstow-Daggett Airport	Daggett, California, United States
DAH	Dathina Airport	Dathina, Yemen
DAJ	Dauan Airport	Dauan, Queensland, Australia
DAK	Dakhla Oasis Airport	Dakhla Oasis, Egypt
DAL	Dallas Love Field	Dallas, Texas, United States
DAM	Damascus International Airport	Damascus, Syria
DAN	Danville Regional Airport	Danville, Virginia, United States
DAP	Darchula Airport	Darchula, Nepal
DAR	Dar es Salaam Airport	Dar es Salaam, Tanzania
DAT	Datong Airport	Datong, Shanxi, China
DAU	Daru Airport	Daru, Western Province, Papua New Guinea
DAV	Enrique Malek International Airport	David, Chiriquí, Panama
DAX	Dachuan Airport (Daxian Airport)	Dazhou, Sichuan, China
DAY	James M. Cox International Airport	Dayton, Ohio, United States
DAZ	Darwaz Airport	Darwaz, Badakhshan, Afghanistan
DBA	Dalbandin Airport	Dalbandin, Pakistan
DBD	Dhanbad Airport	Dhanbad, India
DBM	Debre Marcos Airport	Debre Marcos, Ethiopia
DBN	W. H. 'Bud' Barron Airport	Dublin, Georgia, United States
DBO	Dubbo Airport	Dubbo, New South Wales, Australia
DBP	Debepare Airport	Debepare, Papua New Guinea
DBQ	Dubuque Regional Airport	Dubuque, Iowa, United States
DBS	Dubois Municipal Airport (FAA: U41)	Dubois, Idaho, United States
DBT	Debre Tabor Airport	Debre Tabor, Ethiopia
DBV	Dubrovnik Airport	Dubrovnik, Dubrovnik-Neretva County, Croatia
DBY	Dalby Airport	Dalby, Queensland, Australia
DCA	Ronald Reagan Washington National Airport	Arlington County, Virginia (near Washington, DC), United States
DCF	Canefield Airport	Canefield, Dominica
DCI	Rafsu Decimomannu Airport	Sardinia, Italy
DCK	Dahl Creek Airport	Dahl Creek, Alaska, United States
DCM	Castres-Mazamet Airport	Castres, Languedoc, France
DCR	Decatur Hi-Way Airport (closed)	Decatur, Indiana, United States
DCT	Duncan Town Airport	Duncan Town, Ragged Island, Bahamas
DCU	Pryor Field Regional Airport	Decatur, Alabama, United States
DDC	Dodge City Regional Airport	Dodge City, Kansas, United States
DDG	Dandong Airport	Dandong, China
DDI	Daydream Island Resort Airport	Daydream Island Resort, Queensland, Australia
DDM	Dodoima Airport	Dodoima, Papua New Guinea
DDN	Delta Downs Airport	Delta Downs, Queensland, Australia
DDP	Dorado Beach Airport	Dorado, Puerto Rico
DDU	Dadu Airport	Dadu, Pakistan
DEA	Dera Ghazi Khan Airport	Dera Ghazi Khan, Pakistan
DEB	Debrecen Airport	Debrecen, Hajdú-Bihar, Hungary
DEC	Decatur Airport	Decatur, Illinois, United States
DED	Dehradun Airport	Dehradun, Uttarakhand, India
DEF	Dezful Airport	Dezful, Iran
DEH	Decorah Municipal Airport	Decorah, Iowa, United States
DEI	Denis Island Airport	Denis Island, Seychelles
DEL	Indira Gandhi International Airport	Delhi, India
DEM	Dembidolo Airport	Dembidolo, Ethiopia
DEN	Denver International Airport (succeeded Stapleton Airport)	Denver, Colorado, United States
